"","Period","Crime_rate","Unemployment_Rate","Unemployment_rate_greater_than_12"
"1",2003,45.7477797513321,4.84916666666667,"Low"
"2",2004,44.2504440497336,4.7475,"Low"
"3",2005,46.8579040852576,4.63833333333333,"Low"
"4",2006,44.0284191829485,4.765,"Low"
"5",2007,41.9236234458259,4.995,"Low"
"6",2008,43.8401420959147,6.8,"Low"
"7",2009,47.797513321492,12.64,"High"
"8",2010,45.1509769094139,14.5925,"High"
"9",2011,49.1918294849023,15.4133333333333,"High"
"10",2012,49.9698046181172,15.4983333333333,"High"
"11",2013,46.5683836589698,13.7858333333333,"High"
"12",2014,49.0852575488455,11.9041666666667,"Low"
"13",2015,46.6305506216696,9.955,"Low"
"14",2016,8.90053285968028,8.3975,"Low"
